total rep over categories,rep1,rep2,rep3,other
4,4
0
0
1,1
8,8
4,2,2
14,9,4,1
15,5,4,4
6,4,1,1
24,5,3,3
54,25,21,4
15,2,2,1
0
34,6,4,3
3,3
33,5,3,2
7,5,1,1
24,3,2,2
0
17,7,4,2
23,8,3,3
36,7,6,5
15,5,2,2
4,3,1
3,2,1
2,1,1
24,3,2,2
3,2,1
2,1,1
3,2,1
0
0
3,3
